sample_id,platform,environment,scene,app_name,capture_file,label,notes,source_ip,destination_ip,transport_protocol,destination_port,protocol,dst_port,domain,flow_id,packet_count,byte_count,duration,is_background,filter_reason,source_group
Android_pinduoduo_000085,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,07f52e0989bc0d24,10,997,0.146637,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000086,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c44:1:ff1e::6f07:6029,TCP,443,TCP,443,static.pddpic.com,5aed6262d1663f32,4,376,7.015448,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000087,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:f0a2:c0b7:c623:ca1a,2603:1030:40c:e::1,TCP,443,TCP,443,,56ae54e93da0c7a8,3,437,0.284599,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000088,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,111.13.110.145,TCP,443,TCP,443,,73c4d9ce5f5b82b2,8,3270,0.070291,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000089,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c44:1:ff1e::6f07:6029,TCP,443,TCP,443,static.pddpic.com,c0ba6d5c43dce27c,4,376,7.019737,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000090,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c44:1:ff1e::6f07:6029,TCP,443,TCP,443,static.pddpic.com,e032ad4816ccc4af,4,376,7.018628,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000091,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,bf5fa2ccb4ac814a,10,997,0.148974,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000092,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,101.36.166.10,TCP,443,TCP,443,,109c7ae4ab643e27,9,720,40.121735,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000093,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c44:1:ff1e::6f07:6029,TCP,443,TCP,443,static.pddpic.com,e578bd07fbdcf788,4,376,7.011675,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000094,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,fe80::2db:7fff:fe61:fda8,fe80::e0bd:a0ff:fe0b:664,UDP,53,UDP,53,liveplay.pddpic.com,2767c59405c0521d,2,323,0.052642,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000095,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,fe80::2db:7fff:fe61:fda8,fe80::e0bd:a0ff:fe0b:664,UDP,53,UDP,53,liveplay.pddpic.com,f5bb77a68b965160,2,311,0.02948,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000096,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,fe80::2db:7fff:fe61:fda8,fe80::e0bd:a0ff:fe0b:664,UDP,53,UDP,53,live04-adapt.pddpic.com,00b577c3df1314f7,2,316,0.040893,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000097,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,fe80::2db:7fff:fe61:fda8,fe80::e0bd:a0ff:fe0b:664,UDP,53,UDP,53,live04-adapt.pddpic.com,88d6498fc41b8437,2,304,0.030555,false,target_domain_or_tls_dns_related,Android
